Acesso,Longitude,Latitude
URI - B,-43.239790112118,-22.9320370707534
URI - C,-43.2397177501976,-22.9316062786646
URI - D,-43.2379874920043,-22.9304708561691
URI - E,-43.2377987997876,-22.9306368399108
URI - ACESSIBILIDADE,-43.239605215745,-22.931680806129
CNV - A,-43.206140079093,-22.9089752100966
CNV - B,-43.2059468474559,-22.9094039941025
CNV - C,-43.2058672386268,-22.9096164499245
CNV - D,-43.2056646197825,-22.9101399115516
CNV - E,-43.2055930666388,-22.9103286498863
CNV - F,-43.2054659877162,-22.910704413905
SCR - A1,-43.2216781374657,-22.9105811715212
SCR - A2,-43.2218112204658,-22.9098327801379
SCR - B1,-43.2219006487144,-22.9095765861035
SCR - B2,-43.2220063980723,-22.909095848944
SCR - C1,-43.2200395650151,-22.9103817074627
SCR - C2,-43.2199402621127,-22.909942417199
MRC - A1,-43.2339194625167,-22.9098765503074
MRC - A2,-43.2349077019542,-22.9101666451658
MRC - A3,-43.2338334547736,-22.9099238540761
MRC - A4,-43.2325268546396,-22.9108129536119
MRC -A5,-43.2340130325032,-22.9098883511626
MRC - B1,-43.2332671462278,-22.9087862628533
MRC - B2,-43.2336140946008,-22.9095174315451
TRG - A,-43.243956805313,-22.8971783052833
TRG - B,-43.244024256868,-22.8974428381777
MGR - A1,-43.2601716914106,-22.8811480828478
MGR - A2,-43.2600868380261,-22.8814065087318
MGR - B1,-43.2599557058039,-22.8818673017034
MGR - B2,-43.2600874730261,-22.8815845912766
DCT - A1,-43.2712429275722,-22.8792707561924
DCT - A2,-43.2716472558916,-22.8793696311982
DCT - B1,-43.2708910149755,-22.8807108065104
DCT - B2,-43.2717633454226,-22.879552281847
INH - A1,-43.2839109517909,-22.8742622212291
INH - A2,-43.283683161835,-22.8744801706837
INH - B1,-43.2836159560457,-22.8746530657849
INH - B2,-43.2839126196893,-22.8747421938853
INH - B3,-43.2837056466288,-22.8746327764915
ERN - A1,-43.2969661546346,-22.8681987892699
ERN - A2,-43.2975278290928,-22.8680169815933
ERN - A3,-43.297397485437,-22.8679963043779
ERN - B1,-43.2972263087349,-22.8675446822068
ERN - B2,-43.2973479492828,-22.8678303409727
TCL - A1,-43.3065895019482,-22.8623593033095
TCL - A2,-43.3067660633453,-22.8623687334103
TCL - B1,-43.3071516181877,-22.8622621921365
TCL - B2,-43.3069227300688,-22.8623835133393
VCV - A1,-43.313098520229,-22.8537945825878
VCV - A2,-43.3133397943165,-22.8536569895689
VCV - A3,-43.3135873664574,-22.853230138547
VCV - A4,-43.3135991096226,-22.8529041179581
VCV - A5,-43.3132328045661,-22.8539255158713
VCV - B1,-43.3134003235361,-22.8540225953239
VCV - B2,-43.3139037414654,-22.8535959265977
VCV - B3,-43.3133296475837,-22.8540303490011
IRJ - A,-43.3241383040958,-22.8477100965682
IRJ - B,-43.3240167311745,-22.8475031916727
CLG - A,-43.3346655642374,-22.8425623577939
CLG - B,-43.3347073573308,-22.8427779890472
CNT - A,-43.3430778296103,-22.8315147289039
CNT - B,-43.3432599978541,-22.8318733882928
AFB - A1,-43.3494250713838,-22.8247166759132
AFB - A2,-43.3495547910831,-22.8245812878582
AFB - B1,-43.3493722715396,-22.8251691285865
AFB - B2,-43.3497166452542,-22.8247015113622
ERP - A,-43.3582511785408,-22.8164157115258
ERP - B,-43.3586265736906,-22.8163270071725
PVN - A1,-43.3659336802458,-22.8062774029412
PVN - A2,-43.3656921471385,-22.805972289466
PVN - A3,-43.3658695808018,-22.8061244525815
PVN - B1,-43.3650179797923,-22.8061821659276
PVN - B2,-43.3655808348023,-22.8066176831297
PNV - B3,-43.3651969915067,-22.8064988575445
PVN - C,-43.3645354697324,-22.8067792234925
