Acesso,Longitude,Latitude
VCV - A5,-43.31323280456610,-22.85392551587130
VCV - B1,-43.31340032353610,-22.85402259532390
VCV - B2,-43.31390374146540,-22.85359592659770
VCV - B3,-43.31332964758370,-22.85403034900110
IRJ - A,-43.32413830409580,-22.84771009656820
IRJ - B,-43.32401673117450,-22.84750319167270
CLG - A,-43.33466556423740,-22.84256235779390
CLG - B,-43.33470735733080,-22.84277798904720
CNT - A,-43.34307782961030,-22.83151472890390
CNT - B,-43.34325999785410,-22.83187338829280
AFB - A1,-43.34942507138380,-22.82471667591320
AFB - A2,-43.34955479108310,-22.82458128785820
AFB - B1,-43.34937227153960,-22.82516912858650
AFB - B2,-43.34971664525420,-22.82470151136220
ERP - A,-43.35825117854080,-22.81641571152580
ERP - B,-43.35862657369060,-22.81632700717250
PVN - A1,-43.36593368024580,-22.80627740294120
PVN - A2,-43.36569214713850,-22.80597228946600
PVN - A3,-43.36586958080180,-22.80612445258150
PVN - B1,-43.36501797979230,-22.80618216592760
PVN - B2,-43.36558083480230,-22.80661768312970
PNV - B3,-43.36519699150670,-22.80649885754450
PVN - C,-43.36453546973240,-22.80677922349250
