estacao,sigla,ramal,latitude,longitude,nomeAntigo,bicicletario,km,endereço,cep
Sampaio,SPO,Deodoro,-22.90194501,-43.26178964,,0,7.742,Rua Vinte e Quatro de Maio s/n,20725-000
São Cristóvão,SCO,Deodoro,-22.90983717,-43.22300634,,0,3.46,Avenida Bartolomeu de Gusmão s/n,20941-160
São Francisco Xavier,SFX,Deodoro,-22.90234709,-43.24481115,,0,5.88,Rua Vinte e Quatro de Maio s/n,20950-090
Silva Freire,SFE,Deodoro,-22.90394565,-43.27560406,,0,9.207,Rua 24 de Maio s/n,20710-030
Citrolândia,CLA,Guapimirim,-22.59265943,-43.01486605,,0,65.501,Rua João Café Filho s/n,25942-220
Guapimirim,GPM,Guapimirim,-22.51995465,-42.97753906,,0,74.521,Rua Prof Rocha Faria s/n,25946-079
Iriri,IRI,Guapimirim,-22.65312954,-43.06625322,,0,54.931,Rua Cantagalo s/n,25900-000
Jardim Guapimirim,CPM,Guapimirim,-22.56264403,-42.99505322,Parada Capim,0,69.411,Rua H s/n,25943-410
Jardim Nova Marília,NMA,Guapimirim,-22.63592073,-43.03031613,,0,60.131,Estrada Adam Blummer s/n,25908-683
Jororó,JRO,Guapimirim,-22.60533239,-43.02486269,,0,63.831,Rua Sem Nome s/n,25940-000
Magé,MGE,Guapimirim,-22.65194544,-43.04215914,,0,57.471,Rua Coronel Macieira s/n,25900-115
Parada Bananal,BNL,Guapimirim,-22.53681406,-42.98217031,,0,72.581,Rua Claudionor Batista s/n,25946-334
Parada Ideal,IDL,Guapimirim,-22.5794,-43.00510648,,0,67.281,Rua Sem Nome s/n,25940-000
Parada Modelo,MDO,Guapimirim,-22.5465768,-42.98544131,,0,71.541,Rua João Nogueira da Silva s/n,25943-554
Parque Estrela,PEA,Guapimirim,-22.65027338,-43.20821392,Meia Noite,0,39.151,Estrada União Indústria s/n,25275-440
Surui,SRI,Guapimirim,-22.66298945,-43.12897237,,0,47.841,Rua Capitão José de Paula s/n,25922-440
Anchieta,ACT,Japeri,-22.82538659,-43.40239292,,0,26.464,Avenida Nazaré s/n,21645-010
Austin,AUS,Japeri,-22.72011302,-43.52343736,,0,44.503,Rua Coronel Monteiro de Barros s/n,26395-000
